127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.024150
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001532
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002374
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/js/calendar.js, HTTP/1.1, 304, 0.001779
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/js/jquery.js, HTTP/1.1, 304, 0.004332
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/css/calendar.css, HTTP/1.1, 304, 0.002952
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004177
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002074
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.002527
127.0.0.1, 2018-08-27 09:46:22, GET, /FristSample/static/js/web2py.js, HTTP/1.1, 304, 0.001324
127.0.0.1, 2018-08-27 09:46:25, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.015305
127.0.0.1, 2018-08-27 09:46:27, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.012158
127.0.0.1, 2018-08-27 09:46:29, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.014324
127.0.0.1, 2018-08-27 09:46:31, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.015192
127.0.0.1, 2018-08-27 09:52:15, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.014300
127.0.0.1, 2018-08-27 10:06:16, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.127764
127.0.0.1, 2018-08-27 10:06:22, GET, /admin/default/ticket/FristSample/127.0.0.1.2018-08-27.10-06-16.861a3c76-2931-4f80-8ee7-a0a985ddff4a, HTTP/1.1, 200, 0.174233
127.0.0.1, 2018-08-27 10:06:32, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.041745
127.0.0.1, 2018-08-27 10:07:22, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.116104
127.0.0.1, 2018-08-27 10:19:32, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.042512
127.0.0.1, 2018-08-27 10:20:23, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.026901
127.0.0.1, 2018-08-27 10:21:54, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.020270
127.0.0.1, 2018-08-27 10:22:32, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.018722
127.0.0.1, 2018-08-27 10:22:55, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.016228
127.0.0.1, 2018-08-27 10:23:43, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021788
127.0.0.1, 2018-08-27 10:24:44, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022636
127.0.0.1, 2018-08-27 10:24:46, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.017297
127.0.0.1, 2018-08-27 10:24:58, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.016398
127.0.0.1, 2018-08-27 10:25:30, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.017301
127.0.0.1, 2018-08-27 10:27:05, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.062286
127.0.0.1, 2018-08-27 10:28:01, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.043572
127.0.0.1, 2018-08-27 10:28:03, GET, /admin/default/ticket/FristSample/127.0.0.1.2018-08-27.10-28-01.6c9ccd42-3e2e-4589-92ea-792b82e1b7db, HTTP/1.1, 200, 0.004172
127.0.0.1, 2018-08-27 10:29:44, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.047019
127.0.0.1, 2018-08-27 10:30:50, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.017287
127.0.0.1, 2018-08-27 10:34:15, GET, /, HTTP/1.1, 303, 0.000487
127.0.0.1, 2018-08-27 10:34:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.018738
127.0.0.1, 2018-08-27 10:34:23, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.016948
127.0.0.1, 2018-08-27 10:36:17, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.052845
127.0.0.1, 2018-08-27 10:37:15, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.054205
127.0.0.1, 2018-08-27 10:37:30, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.050934
127.0.0.1, 2018-08-27 10:37:47, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.077242
127.0.0.1, 2018-08-27 10:37:58, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.023070
127.0.0.1, 2018-08-27 10:38:43, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021255
127.0.0.1, 2018-08-27 10:39:11, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022107
127.0.0.1, 2018-08-27 10:39:30, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.018774
127.0.0.1, 2018-08-27 10:39:43, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.019276
127.0.0.1, 2018-08-27 10:40:25, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022061
127.0.0.1, 2018-08-27 10:40:27, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022875
127.0.0.1, 2018-08-27 10:40:40, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022830
127.0.0.1, 2018-08-27 10:41:24, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.025271
127.0.0.1, 2018-08-27 10:42:27, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.051908
127.0.0.1, 2018-08-27 10:42:54, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.044811
127.0.0.1, 2018-08-27 10:43:02, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.031583
127.0.0.1, 2018-08-27 10:43:18, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.015974
127.0.0.1, 2018-08-27 10:43:39, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.029912
127.0.0.1, 2018-08-27 10:43:56, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.046297
127.0.0.1, 2018-08-27 10:44:09, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.019297
127.0.0.1, 2018-08-27 10:45:52, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.019268
127.0.0.1, 2018-08-27 10:46:13, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.019833
127.0.0.1, 2018-08-27 10:46:49, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.025569
127.0.0.1, 2018-08-27 10:47:07, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.024296
127.0.0.1, 2018-08-27 10:47:44, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.023627
127.0.0.1, 2018-08-27 10:48:10, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021151
127.0.0.1, 2018-08-27 10:49:08, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022398
127.0.0.1, 2018-08-27 10:50:46, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022305
127.0.0.1, 2018-08-27 10:51:15, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.029212
127.0.0.1, 2018-08-27 10:51:46, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.022241
127.0.0.1, 2018-08-27 10:52:12, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021400
127.0.0.1, 2018-08-27 10:52:29, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021799
